title,company,location,posted_date,salary,skills,experience_required,description,employment_type,url,source,repost_count,first_seen,last_seen
Senior Design Manager - Planning and Design - MAS 4008,Qiddiya Investment Company,"Riyadh, Riyadh Province, Saudi Arabia",2026-09-10T00:00:00Z,Not Specified,Not Specified,Not Specified,"Senior Manager – Planning and Design Key Responsibilities Develop and ensure implementation of design guidelines for all development projects in coordination with the Design Director. Ensure development and successful implementation of design plan in order to ensure successful achievement of design goals for all assigned projects. Advise leadership team on the most suitable design consultant candidates through initial outreach, RFP development, contract execution and contract administration in coordination with the Design Director. Provide support to development project teams in the development of design strategies in order to ensure efficient completion of project as and when needed. Provide support to the design, development and construction teams regarding the development schedules, budgets and plans. Ensure periodic internal design reviews in order to ensure alignment",Not Specified,https://apply.workable.com/j/AF669757D7?utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Onsite Project Manager,KION Group,"Riyadh City, Saudi Arabia",2026-09-10T00:00:00Z,Not Specified,acceptance-criteria,Not Specified,"The Onsite Project Manager is responsible for the coordination of all activities associated with a project, from receipt of a customer order via the sales team to the completion and hand-over of the project to the client and the service group. Success is measured in terms of economic results and overall customer satisfaction, as well as in ensuring that the project is delivered on time, within the agreed budget and to the agreed functionality. The Project Manager is responsible for ensuring that the project is carried out in line with Dematic’s standard practices and procedures. We offer: We offer: Career Development Located in Saudi Arabia Competitive Compensation and Benefits Global Opportunities Learn More Here: https://www.dematic.com/en-us/about/careers/what-we-offer/ Tasks and Qualifications: Tasks and",Not Specified,https://kiongroup.wd3.myworkdayjobs.com/KIONGroup/job/Riyadh-City-Saudi-Arabia/Onsite-Project-Manager_JR-0095330-1?utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Senior Sales Engineer (P&W),yokogawa,Al-Khobar,2026-09-10T00:00:00Z,Not Specified,"automation, cybersecurity",Not Specified,"Not just a job, but a career Yokogawa, award winner for ‘Best Asset Monitoring Technology’ and ‘Best Digital Twin Technology’ at the HP Awards, is a leading provider of industrial automation, test and measurement, information systems and industrial services in several industries. Our aim is to shape a better future for our planet through supporting the energy transition, (bio)technology, artificial intelligence, industrial cybersecurity, etc. We are committed to the United Nations sustainable development goals by utilizing our ability to measure and connect. About the Team Our 18,000 employees work in over 60 countries with one corporate mission, to ""co-innovate tomorrow"". We are looking for dynamic colleagues who share our passion for technology and care for our planet. In return, we offer you great career opportunities to grow yourself in a truly global culture where respect, value",Not Specified,https://wd3.myworkdaysite.com/recruiting/yokogawa/yokogawa-career-site/job/Al-Khobar/Sr-Sales-Engineer--Saudi-Aramco-Account-_R-12675?utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
PROJECT MANAGER - BANKING - DATA & AI,Duncan & Ross,"Riyadh, Saudi Arabia",2026-09-10T06:06:20Z,Not Specified,"agile, ai, aws, azure, certified-scrummaster, cloud, confluence, data-engineering, data-governance, data-lake, data-pipelines, data-quality, data-science, databricks, elt, etl, gcp, jira, lakehouse, machine-learning, model-deployment, pmp, program-management, recommendation-systems, regulatory-compliance, safe-agile, snowflake, stakeholder-management",Not Specified,"Job Purpose The Project Manager will lead the end-to-end delivery of a large-scale Data Lake Modernization program for a banking client, encompassing both the technical migration/modernization of the data platform and the implementation of downstream AI use cases — specifically hyper-personalization of banking products and Next Best Offer (NBO) capabilities. The role requires strong command of both traditional data/infrastructure delivery and AI/ML-enabled business transformation, bridging technical teams, business stakeholders, and senior banking client sponsors. Key Responsibilities Own end-to-end project planning, governance, and delivery of the data lake modernization program, including scope, timeline, budget, resourcing, and risk/issue management. Lead delivery of the AI/ML use case workstream for hyper-personalization and Next Best",Not Specified,https://www.careers-page.com/duncan-ross-management-consultancies/job/8X5R4XWR?utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Technical Project Manager (CCTV & Networking),jobgether,Switzerland,2026-09-10T06:13:36Z,Not Specified,"ai, asana, gdpr, jira, monday-com, networking, voip, wan",Not Specified,"This position is listed on behalf of a partner company, who manages all applications and next steps. Our partner is looking for a Technical Project Manager (CCTV & Networking) based in Switzerland. As a Technical Project Manager, you’ll lead the delivery of CCTV and physical security technology projects from initial design and estimation through deployment and ongoing support. You’ll combine hands-on technical expertise with strong project management skills to ensure systems are designed, quoted, and implemented accurately. Your responsibilities will span CCTV layouts, network integration, hardware selection, project scheduling, resource coordination, and stakeholder communication. You’ll work with clients, technicians, vendors, and internal teams to keep complex deployments on track. Strong knowledge of networking fundamentals will be essential for configuring and troubleshooting reliable security systems. This is a fully remote, autonomous role",Not Specified,https://jobs.lever.co/jobgether/02aa8fe7-58af-4345-8fd0-82c0add23360?utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Senior Graphic Designer (Static Ads),jobgether,US,2026-09-10T08:54:57Z,Not Specified,"ai, ecommerce, figma, gdpr, paid-social, photoshop, slack, typography",Not Specified,"This position is listed on behalf of a partner company, who manages all applications and next steps. Our partner is looking for a Senior Graphic Designer (Static Ads) based in United States. This is a senior-level creative role focused on producing high-performing static advertising for fast-growing e-commerce brands. You’ll turn concise briefs and brand guidelines into scroll-stopping concepts that communicate clearly and capture attention quickly. The role combines strong visual craft with a performance mindset, where great design is measured by both quality and its ability to drive results. You’ll work primarily independently while collaborating with an experienced design team through focused feedback and creative reviews. Speed and consistency are essential, with an expectation of producing approximately 9–10 polished composites each day. You’ll also use AI extensively to accelerate ideation, explore creative directions, and develop",Not Specified,https://jobs.lever.co/jobgether/002c42d2-0de8-4826-a1e2-8f3cb2b1bea6?utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
UI/UX Director,jobgether,Switzerland,2026-09-10T09:04:01Z,Not Specified,"accessibility, ai, css, ecommerce, figma, gdpr, html, information-architecture, javascript, prototyping, react, shopify, user-research, wcag",Not Specified,"This position is listed on behalf of a partner company, who manages all applications and next steps. Our partner is looking for a UI/UX Director based in Switzerland. This is an executive-level, hands-on design leadership role focused on elevating UI/UX quality across sophisticated web and e-commerce experiences. You will lead a multidisciplinary team while serving as the bridge between creative vision, user experience, and front-end technical execution. The role combines design systems, accessibility, responsive and mobile-first thinking, data-informed decision-making, and emerging AI capabilities. You will also play a visible role in client strategy, executive conversations, proposals, and new business pitches. Strong operational ownership is essential, including capacity planning, estimation, forecasting, and budget management. You’ll work with major brands and experienced specialists across strategy, design, technology, data, and e-commerce in a",Not Specified,https://jobs.lever.co/jobgether/0121c742-5af6-4071-8930-fb28c04ac38c?utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Senior Sales Engineer (Saudi Arabia),Commvault,"Riyadh, Saudi Arabia",2026-09-10T10:46:56Z,Not Specified,"ai, cloud, networking, pre-sales, proof-of-concept, saas",Not Specified,"Recruitment Fraud Alert We’ve learned that scammers are impersonating Commvault team members—including HR and leadership—via email or text. These bad actors may conduct fake interviews and ask for personal information, such as your social security number. What to know: Commvault does not conduct interviews by email or text. We will never ask you to submit sensitive documents (including banking information, SSN, etc) before your first day. If you suspect a recruiting scam, please contact us at wwrecruitingteam@commvault.com About Commvault Commvault (NASDAQ: CVLT) is the gold standard in cyber resilience. The company empowers customers to uncover, take action, and rapidly recover from cyberattacks – keeping data safe and businesses resilient. The company’s unique AI-powered platform combines best-in-class data protection, exceptional",Not Specified,https://job-boards.greenhouse.io/commvault/jobs/5300918008?utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
QA/QC Engineer - Data Center,Decima International,"Riyadh, Riyadh, Saudi Arabia",2026-09-10T11:37:10Z,Not Specified,"iso-9001, statistics, transformers",Not Specified,"Decima International is a professional services company, providing project management and controls services to clients in the United States and the Middle East. Our mission is to become the premier professional services provider across all industry sectors we are engaged in. To accomplish this, Decima International’s founders established a simple yet powerful formula: Approach each client engagement as a partnership , create an environment that attracts the most talented professionals and allows them to flourish, and regulate growth to maintain excellence in our service standards. QA/QC Electrical Engineer – Data Centers Role Overview We are seeking a driven and detail-oriented QA/QC Electrical Engineer to support electrical quality assurance and quality control activities for major mission-critical and data center projects in KSA. The role",Not Specified,https://job-boards.greenhouse.io/decimainternational/jobs/4709457006?utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Technology Architect,CoorB,"Jeddah, Saudi Arabia",2026-09-10T12:17:37Z,Not Specified,"analytics, automation, cloud, data-analytics, stakeholder-management",Not Specified,"ABOUT CoorB We build full-fledged innovative solutions with a focus on process automation, user experience enhancement, and advanced data analytics. With our extensive industry expertise, we help achieve operational excellence, future-proof your IT investments, and ensure a competitive edge in the ever-evolving finance industry. OUR OPPORTUN ITY We are seeking a highly experienced Technology Architect to define and govern the organization's Technology Architecture and target technology landscape. The role is responsible",Not Specified,https://coorb.zohorecruit.com/jobs/Careers/788027000007103544?utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
