title,company,location,posted_date,salary,skills,experience_required,description,employment_type,url,source,repost_count,first_seen,last_seen
Software Engineer,MinIO,Saudi Arabia - via LinkedIn,,,agentic,Not Specified,"MinIO is the data and memory foundation for enterprise AI. Built for the speed, scale, and economics that AI and analytics demand, AIStor and MemKV unify every layer of the data stack, from agentic and inference context memory to tables and objects across core, edge, and cloud. Trusted by 77% of the",Full-time,https://sa.linkedin.com/jobs/view/software-engineer-at-minio-4428125825,jsearch,1,2026-09-12T11:36:41.383452+00:00,2026-09-12T11:44:25.761937+00:00
AI Native Software Engineer,Accenture,Riyadh - via GulfTalent,,,Not Specified,Not Specified,"We are

A forward-thinking services company at the forefront of AI-native innovation. We partner with enterprise clients to create next-generation, agent-powered workflows engineered to scale in real-world settings. Our engineers embed deeply with customers, moving projects beyond experimentation in",Full-time,https://www.gulftalent.com/saudi-arabia/jobs/ai-native-software-engineer-612083,jsearch,1,2026-09-12T11:36:41.383452+00:00,2026-09-12T11:44:25.761937+00:00
Embedded Software Engineer (Mid-Senior Level),Movandi,Riyadh - via LinkedIn,,,Not Specified,Not Specified,"Movandi has made a big impact on 5G in a short amount of time — from foundational research and innovative modular, high efficiency mmWave system design to the introduction of our BeamXR 5G system that delivers improvements in performance, coverage, and latency to connect 5G everywhere. Now more than",Full-time,https://sa.linkedin.com/jobs/view/embedded-software-engineer-mid-senior-level-at-movandi-4392428770,jsearch,1,2026-09-12T11:36:41.383452+00:00,2026-09-12T11:44:25.761937+00:00
Senior Software Engineer - Backend,Delivery Hero,Riyadh - via Delivery Hero,,,Not Specified,Not Specified,"About the opportunity

We are looking for a highly talented Senior Backend Engineer to join our Riyadh office. If you are looking for a place where you can gain hands-on experience and create a direct impact, then this may be the place for you! The ideal candidate will have a track record as a signi",Not Specified,https://careers.deliveryhero.com/job/senior-software-engineer-backend-in-riyadh-saudi-arabia-jid-7417,jsearch,1,2026-09-12T11:36:41.383452+00:00,2026-09-12T11:44:25.761937+00:00
Software Engineer (KHOBAR),Join Solutions,Khobar - via BeBee,,,Not Specified,Not Specified,"We are looking for a Software Engineer to be responsible for applying the principles of engineering to software development. Their role includes analyzing and modifying existing software as well as designing, constructing, and testing end-user applications that meet user needs — all through software",Full-time,https://bebee.com/sa/jobs/software-engineer-khobar-join-solutions-khobar--ss-sa-1i2a1c2,jsearch,1,2026-09-12T11:36:41.383452+00:00,2026-09-12T11:44:25.761937+00:00
"Riyadh, Saudi Arabia Software Engineering Posted 15 hours ago",Qualcomm,Riyadh - via Jobs In Saudi Arabia - Jooble,,,Not Specified,Not Specified,"## Rack SW AI Infrastructure Management (AIMS), UI, Orchestration & Lifecycle Management & Networking Engineer - Riyadh, KSARiyadh, Saudi ArabiaApply NowFind out how well you match with this jobJob ID3093822## **Company:**Qualcomm Middle East Information Technology Company LLC## **Job Area:**Enginee",Full-time,https://sa.jooble.org/jdp/6764340318097326570,jsearch,1,2026-09-12T11:36:41.383452+00:00,2026-09-12T11:44:25.761937+00:00
Site Reliability Engineer,Thales,Khobar - via Thales Careers - Thales Group,,,Not Specified,Not Specified,"Location: Khobar, Saudi Arabia

Thales people architect identity management and data protection solutions at the heart of digital security. Business and governments rely on us to bring trust to the billions of digital interactions they have with people. Our technologies and services help banks excha",Full-time,https://careers.thalesgroup.com/global/en/job/R0330235/Site-Reliability-Engineer,jsearch,1,2026-09-12T11:36:41.383452+00:00,2026-09-12T11:44:25.761937+00:00
Senior Software Engineer (Data),Jobgether,Saudi Arabia - via BeBee,,,Not Specified,Not Specified,"This position is listed on behalf of a partner company, who manages all applications and next steps. Our partner is looking for a Senior Software Engineer (Data) based in Saudi Arabia.

This is an opportunity to join a lean, autonomous engineering team building products that help organizations bette",Full-time,https://bebee.com/sa/jobs/senior-software-engineer-data-jobgether--fj-2329072680,jsearch,1,2026-09-12T11:36:41.383452+00:00,2026-09-12T11:44:25.761937+00:00
Lead Software Engineer - Riyadh - Saudi National,Jari Solutions,Saudi Arabia - via Foundit,,,Not Specified,Not Specified,"We are hiring for a well-known governmental entity a Lead Software Engineer who will be responsible for leading the development team and driving the design, architecture, and delivery of high-quality software solutions. This role requires strong hands-on expertise in modern full-stack technologies,",Full-time,https://www.founditgulf.com/job/lead-software-engineer-riyadh-saudi-national-jari-solutions-saudi-arabia-42721447,jsearch,1,2026-09-12T11:36:41.383452+00:00,2026-09-12T11:44:25.761937+00:00
C++ Developer - Remote,YO IT Consulting,Jeddah - via LinkedIn,,,c++,Not Specified,"Job Title: C++ Developer

Job Type: Contractor

Location: Remote

Job Summary

Join our customer team as an expert C++ Developer focused on advancing a cutting-edge AI agent project. You will use your deep expertise in C++ to design, optimize, and train AI models, directly contributing to breakthrou",Full-time,https://sa.linkedin.com/jobs/view/c%2B%2B-developer-remote-at-yo-it-consulting-4431570017,jsearch,1,2026-09-12T11:36:41.383452+00:00,2026-09-12T11:44:25.761937+00:00
